,abstract,date,id,publicationName,title,abstract_cleaned
0,"Well-being as an intangible, philosophical, and multi-faceted phenomenon is hard to measure. By taking a psycholinguistic expression of well-being, we measure how tourists' experiencing holiday destinations affects their well-being states. The well-being state includes increases or decreases in Hedonia and Eudaimonia as a result of destination experiences. We apply text topic modelling to analyse big Web 2.0 datasets. These include tourists’ self-reports of their experiences during their visit to destination countries collected from Travelblog.org weblog. The findings from a Global sample, New Zealand, and France are compared to generalise Hedonia and Eudaimonia conceptualisations across these destinations. The outputs also characterise experiences with maximum well-being and ill-being that include both Hedonia and Eudaimonia. Managerial implications include how a destination image may be managed according to desired well-being states. This also helps tourists make informed decisions about their holiday destinations.",2018-12-01,2-s2.0-85048543703,Tourism Management,Hedonic and eudaimonic well-being: A psycholinguistic view,"Well-being as an intangible, philosophical, and multi-faceted phenomenon is hard to measure. By taking a psycholinguistic expression of well-being, we measure how tourists' experiencing holiday destinations affects their well-being states. The well-being state includes increases or decreases in Hedonia and Eudaimonia as a result of destination experiences. We apply text topic modelling to analyse big Web 2.0 datasets. These include tourists’ self-reports of their experiences during their visit to destination countries collected from Travelblog.org weblog. The findings from a Global sample, New Zealand, and France are compared to generalise Hedonia and Eudaimonia conceptualisations across these destinations. The outputs also characterise experiences with maximum well-being and ill-being that include both Hedonia and Eudaimonia. Managerial implications include how a destination image may be managed according to desired well-being states. This also helps tourists make informed decisions about their holiday destinations."
1,"The rapid growth of the Chinese economy has resulted in great pressure on the environment: technological innovation is the fundamental pathway for improvement the efficiency in the process of energy saving and emission reduction. Based on large-scale technical text data in 31 Chinese provinces from 1985 to 2017, the Latent Dirichlet Allocation (LDA) topic model is introduced to technology content analysis. Then the LDA provincial-topic model is constructed, the subject and object of energy technology are jointly modelled, and the relationship between technology subject and technology have been region studied. The energy saving and emission reduction technology research direction in 31 provinces of China in the past 30 years has been examined: the status and level of technical reserves in each province have been evaluated, and the heterogeneity of provincial patent subject content has been compared. The research found that, despite the cumulative patent record (No. 1 world ranking), similarities in research directions in different provinces of China caused by poor regional technology mobility are a growing problem for Chinese energy technology, indicating much repeated research and development in different regions of China. Targeted suggestions on inter-provincial technology transfer and cooperation on energy technology development have been put forward.",2018-11-20,2-s2.0-85053080182,Journal of Cleaner Production,Heterogeneity evaluation of China's provincial energy technology based on large-scale technical text data mining,"The rapid growth of the Chinese economy has resulted in great pressure on the environment: technological innovation is the fundamental pathway for improvement the efficiency in the process of energy saving and emission reduction. Based on large-scale technical text data in 31 Chinese provinces from 1985 to 2017, the Latent Dirichlet Allocation (LDA) topic model is introduced to technology content analysis. Then the LDA provincial-topic model is constructed, the subject and object of energy technology are jointly modelled, and the relationship between technology subject and technology have been region studied. The energy saving and emission reduction technology research direction in 31 provinces of China in the past 30 years has been examined: the status and level of technical reserves in each province have been evaluated, and the heterogeneity of provincial patent subject content has been compared. The research found that, despite the cumulative patent record (No. 1 world ranking), similarities in research directions in different provinces of China caused by poor regional technology mobility are a growing problem for Chinese energy technology, indicating much repeated research and development in different regions of China. Targeted suggestions on inter-provincial technology transfer and cooperation on energy technology development have been put forward."
2,"The aim of this study is to introduce a decision framework that integrates Quality Function Deployment (QFD) methodology and topic modelling to facilitate analysing online reviews, that is, a digital source of voice of the customer (VoC), to extract the true customer needs for developing a product/service. Within the framework, after collecting and preprocessing customer reviews, Latent Dirichlet Allocation is used for grouping them as topics. Most representative reviews are determined based on corresponding topic distributions, and QFD methodology is employed to clarify these reviews and reveal true customer needs. For demonstration, this framework was used to analyse 83,545 reviews on Italian restaurants gathered from Yelp.com via topic modelling with a more objective perspective. The number of documents to be examined was decreased by approximately 95%. Thereupon the completion time of customer voice table, one of the most important tools in QFD studies, reduced dramatically. Besides, text mining process is enhanced for retrieving meaningful information from customer reviews by using QFD tools and their tailored approach. This study is the first attempt that integrates QFD and topic modelling in order to increase the efficiency of the VoC clarification process.",2018-11-10,2-s2.0-85007493460,Total Quality Management and Business Excellence,Topic modelling-based decision framework for analysing digital voice of the customer,"The aim of this study is to introduce a decision framework that integrates Quality Function Deployment (QFD) methodology and topic modelling to facilitate analysing online reviews, that is, a digital source of voice of the customer (VoC), to extract the true customer needs for developing a product/service. Within the framework, after collecting and preprocessing customer reviews, Latent Dirichlet Allocation is used for grouping them as topics. Most representative reviews are determined based on corresponding topic distributions, and QFD methodology is employed to clarify these reviews and reveal true customer needs. For demonstration, this framework was used to analyse 83,545 reviews on Italian restaurants gathered from Yelp.com via topic modelling with a more objective perspective. The number of documents to be examined was decreased by approximately 95%. Thereupon the completion time of customer voice table, one of the most important tools in QFD studies, reduced dramatically. Besides, text mining process is enhanced for retrieving meaningful information from customer reviews by using QFD tools and their tailored approach. This study is the first attempt that integrates QFD and topic modelling in order to increase the efficiency of the VoC clarification process."
3,"The new reality of networked publics on social media calls for crisis communication practitioners and researchers to understand the narratives generated by publics on social media during organizational crises. As social media publics possess diverse, unique characteristics and communicative needs during a crisis, they form interpretative communities and co-create various symbolic interpretations of the crisis. Extending the public-centric and narrative perspective to the context of social media crises, we examined what crisis narratives were constructed by social media publics (i.e., multiplicity) and how these narratives changed by crisis stages (i.e., dynamics). Using topic modelling based on large-scale Twitter data of the Chipotle E. coli crisis (N = 40,610), we identified ten narratives subsumed under two themes (i.e., sharing-based and conversation-based) based on publics’ social constructions of their perceived risks and crisis experience. On the one hand, sharing-based narratives, heavily impacted by publics’ shared media coverage, reflected media crisis narratives and salient risk perceptions aligning with the news agenda. On the other hand, conversation-based narratives, fueled by publics’ opinion expression and emotional venting, demonstrated publics’ interpretations of their experience with the organization in the crisis with less salient but more diversified risk perceptions. Crisis managers are recommended to produce and deliver compelling narratives resonating with different groups of social media publics during crises.",2018-11-01,2-s2.0-85050884991,Public Relations Review,Examining multiplicity and dynamics of publics’ crisis narratives with large-scale Twitter data,"The new reality of networked publics on social media calls for crisis communication practitioners and researchers to understand the narratives generated by publics on social media during organizational crises. As social media publics possess diverse, unique characteristics and communicative needs during a crisis, they form interpretative communities and co-create various symbolic interpretations of the crisis. Extending the public-centric and narrative perspective to the context of social media crises, we examined what crisis narratives were constructed by social media publics (i.e., multiplicity) and how these narratives changed by crisis stages (i.e., dynamics). Using topic modelling based on large-scale Twitter data of the Chipotle E. coli crisis (N = 40,610), we identified ten narratives subsumed under two themes (i.e., sharing-based and conversation-based) based on publics’ social constructions of their perceived risks and crisis experience. On the one hand, sharing-based narratives, heavily impacted by publics’ shared media coverage, reflected media crisis narratives and salient risk perceptions aligning with the news agenda. On the other hand, conversation-based narratives, fueled by publics’ opinion expression and emotional venting, demonstrated publics’ interpretations of their experience with the organization in the crisis with less salient but more diversified risk perceptions. Crisis managers are recommended to produce and deliver compelling narratives resonating with different groups of social media publics during crises."
4,"The study of technology and innovation management (TIM) has continued to evolve and expand with great speed over the last three decades. This research aims to identify core topics in TIM studies and explore their dynamic changes. The conventional approach, based on discrete assignments by subjective judgment with predetermined categories, cannot effectively capture latent topics from large volumes of scholarly data. Hence, this study adopts the topic model approach, which automatically discovers topics that pervade a large and unstructured collection of documents, to uncover research topics in TIM research. The 50 topics of TIM research are identified through the Latent Dirichlet Allocation model from 11,693 articles published from 1997 to 2016 in 11 TIM journals, and top 10 most popular topics in TIM research are briefly reviewed. We then explore topic trends by examining the changes in topics rankings over different time periods and identifying hot and cold topics of TIM research over the last two decades. For each of the 11 TIM journals, the areas of subspecialty and the effects of editor changes on topic portfolios are also investigated. The findings of this study are expected to provide implications for researchers, journal editors, and policy makers in the field of TIM.",2018-10-01,2-s2.0-85012236978,Journal of Technology Transfer,Identifying core topics in technology and innovation management studies: a topic model approach,"The study of technology and innovation management (TIM) has continued to evolve and expand with great speed over the last three decades. This research aims to identify core topics in TIM studies and explore their dynamic changes. The conventional approach, based on discrete assignments by subjective judgment with predetermined categories, cannot effectively capture latent topics from large volumes of scholarly data. Hence, this study adopts the topic model approach, which automatically discovers topics that pervade a large and unstructured collection of documents, to uncover research topics in TIM research. The 50 topics of TIM research are identified through the Latent Dirichlet Allocation model from 11,693 articles published from 1997 to 2016 in 11 TIM journals, and top 10 most popular topics in TIM research are briefly reviewed. We then explore topic trends by examining the changes in topics rankings over different time periods and identifying hot and cold topics of TIM research over the last two decades. For each of the 11 TIM journals, the areas of subspecialty and the effects of editor changes on topic portfolios are also investigated. The findings of this study are expected to provide implications for researchers, journal editors, and policy makers in the field of TIM."
5,"The current debate on corporate social responsibility was triggered by the understanding that companies should be responsible for mitigating the impacts of their activities on the society and the environment. In this paper, drawing on the structural power of business, we examine the rule-setting power in which sugarcane ethanol companies engage, and then discuss why these companies develop and use institutions to promote sustainability. We use a machine learning algorithm, latent Dirichlet allocation, to identify companies’ commitment to sustainability and business-led governance by analyzing a large volume of data from public corporate documents. The results reveal 36 main themes that demonstrate the rule-setting power of the sugarcane ethanol industry through voluntary standards, codes of conduct, and corporate social responsibility these companies use as indicators of superior social and environmental performance and to show sustainability is embedded in companies’ priorities. However, the results also show critical issues of unsustainable production practices can affect industry image and stress socio-environmental relationships. These issues can be ameliorated with integrative governance that considers the independence of the sectors involved in ethanol production.",2018-10-01,2-s2.0-85049884289,Journal of Cleaner Production,Sustainability and governance of sugarcane ethanol companies in Brazil: Topic modeling analysis of CSR reporting,"The current debate on corporate social responsibility was triggered by the understanding that companies should be responsible for mitigating the impacts of their activities on the society and the environment. In this paper, drawing on the structural power of business, we examine the rule-setting power in which sugarcane ethanol companies engage, and then discuss why these companies develop and use institutions to promote sustainability. We use a machine learning algorithm, latent Dirichlet allocation, to identify companies’ commitment to sustainability and business-led governance by analyzing a large volume of data from public corporate documents. The results reveal 36 main themes that demonstrate the rule-setting power of the sugarcane ethanol industry through voluntary standards, codes of conduct, and corporate social responsibility these companies use as indicators of superior social and environmental performance and to show sustainability is embedded in companies’ priorities. However, the results also show critical issues of unsustainable production practices can affect industry image and stress socio-environmental relationships. These issues can be ameliorated with integrative governance that considers the independence of the sectors involved in ethanol production."
6,"Large-scale infrastructure projects have important strategic positions in economy and social development, especially in developing countries, and are growing constantly larger and more complex. During the life cycle of a large-scale infrastructure project, technological problems and environmental and socio-economic impacts drive relevant scientific research. However, few empirical studies have been conducted to examine the interaction between project and research. In this paper, we use the Three Gorges Project (TGP), which is the world's largest hydropower project, as a case study to find the patterns of scientific research on specific large-scale infrastructure projects. Text mining and other quantitative methods have been used to reveal: (1) the growth of the publication outputs of the TGP relevant research, (2) major research topics and their temporal trends and (3) the effects of language and corresponding author's nationality on topic proportions in papers. We find that topics of engineering issues were discussed more in domestic journals and in earlier stage of the project's life cycle. Meanwhile, topics of environmental issues were discussed more in international journals and became increasingly popular during the life cycle of the project. These findings are useful for policy-makers and project managers to better establish collaborations with the academia and to more properly allocate resources in future project management practices.",2018-09-01,2-s2.0-85047395068,Technological Forecasting and Social Change,Scientific research driven by large-scale infrastructure projects: A case study of the Three Gorges Project in China,"Large-scale infrastructure projects have important strategic positions in economy and social development, especially in developing countries, and are growing constantly larger and more complex. During the life cycle of a large-scale infrastructure project, technological problems and environmental and socio-economic impacts drive relevant scientific research. However, few empirical studies have been conducted to examine the interaction between project and research. In this paper, we use the Three Gorges Project (TGP), which is the world's largest hydropower project, as a case study to find the patterns of scientific research on specific large-scale infrastructure projects. Text mining and other quantitative methods have been used to reveal: (1) the growth of the publication outputs of the TGP relevant research, (2) major research topics and their temporal trends and (3) the effects of language and corresponding author's nationality on topic proportions in papers. We find that topics of engineering issues were discussed more in domestic journals and in earlier stage of the project's life cycle. Meanwhile, topics of environmental issues were discussed more in international journals and became increasingly popular during the life cycle of the project. These findings are useful for policy-makers and project managers to better establish collaborations with the academia and to more properly allocate resources in future project management practices."
7,"Entrepreneurial ecosystems are vital sources of innovation and critical engines for economic growth. In this study, we use text-based analysis, network visualizations, and topic modeling of nearly 60&#x2009;000 venture business descriptions&#x2014;i.e., how ventures present technologies and products to key stakeholders including customers, employees, and investors&#x2014;to examine the structure of 35 global entrepreneurial ecosystems. Rather than using predefined industry classifications, we allow the structural configurations to emerge endogenously revealing a more variegated perspective of venture strategic positioning in entrepreneurial ecosystems. Our study makes several important contributions. First, by examining strategic positioning statements of geographically defined ventures, we contribute and advance our understanding of the geography of innovation and structure of entrepreneurial ecosystems. Our results indicate that there are wide differences in entrepreneurial ecosystem size, structure, composition, and venture strategic positioning. Second, methodologically, we use novel computational approaches and introduce visualization as a powerful means to understand entrepreneurial ecosystems. Third, our results show that ventures from widely different industries often use similar position statements, thus highlighting that ecosystems are indeed not just defined by industries, but also strategic positioning. We conclude with theoretical and managerial implications.",2018-08-03,2-s2.0-85051011185,IEEE Transactions on Engineering Management,Visual Analysis of Venture Similarity in Entrepreneurial Ecosystems,"Entrepreneurial ecosystems are vital sources of innovation and critical engines for economic growth. In this study, we use text-based analysis, network visualizations, and topic modeling of nearly 60&#x2009;000 venture business descriptions&#x2014;i.e., how ventures present technologies and products to key stakeholders including customers, employees, and investors&#x2014;to examine the structure of 35 global entrepreneurial ecosystems. Rather than using predefined industry classifications, we allow the structural configurations to emerge endogenously revealing a more variegated perspective of venture strategic positioning in entrepreneurial ecosystems. Our study makes several important contributions. First, by examining strategic positioning statements of geographically defined ventures, we contribute and advance our understanding of the geography of innovation and structure of entrepreneurial ecosystems. Our results indicate that there are wide differences in entrepreneurial ecosystem size, structure, composition, and venture strategic positioning. Second, methodologically, we use novel computational approaches and introduce visualization as a powerful means to understand entrepreneurial ecosystems. Third, our results show that ventures from widely different industries often use similar position statements, thus highlighting that ecosystems are indeed not just defined by industries, but also strategic positioning. We conclude with theoretical and managerial implications."
8,"In recent decades, the amount of text available for organizational science research has grown tremendously. Despite the availability of text and advances in text analysis methods, many of these techniques remain largely segmented by discipline. Moreover, there is an increasing number of open-source tools (R, Python) for text analysis, yet these tools are not easily taken advantage of by social science researchers who likely have limited programming knowledge and exposure to computational methods. In this article, we compare quantitative and qualitative text analysis methods used across social sciences. We describe basic terminology and the overlooked, but critically important, steps in pre-processing raw text (e.g., selection of stop words; stemming). Next, we provide an exploratory analysis of open-ended responses from a prototypical survey dataset using topic modeling with R. We provide a list of best practice recommendations for text analysis focused on (1) hypothesis and question formation, (2) design and data collection, (3) data pre-processing, and (4) topic modeling. We also discuss the creation of scale scores for more traditional correlation and regression analyses. All the data are available in an online repository for the interested reader to practice with, along with a reference list for additional reading, an R markdown file, and an open source interactive topic model tool (topicApp; see https://github.com/wesslen/topicApp, https://github.com/wesslen/text-analysis-org-science, https://dataverse.unc.edu/dataset.xhtml?persistentId=doi:10.15139/S3/R4W7ZS).",2018-08-01,2-s2.0-85040335587,Journal of Business and Psychology,A Review of Best Practice Recommendations for Text Analysis in R (and a User-Friendly App),"In recent decades, the amount of text available for organizational science research has grown tremendously. Despite the availability of text and advances in text analysis methods, many of these techniques remain largely segmented by discipline. Moreover, there is an increasing number of open-source tools (R, Python) for text analysis, yet these tools are not easily taken advantage of by social science researchers who likely have limited programming knowledge and exposure to computational methods. In this article, we compare quantitative and qualitative text analysis methods used across social sciences. We describe basic terminology and the overlooked, but critically important, steps in pre-processing raw text (e.g., selection of stop words; stemming). Next, we provide an exploratory analysis of open-ended responses from a prototypical survey dataset using topic modeling with R. We provide a list of best practice recommendations for text analysis focused on (1) hypothesis and question formation, (2) design and data collection, (3) data pre-processing, and (4) topic modeling. We also discuss the creation of scale scores for more traditional correlation and regression analyses. All the data are available in an online repository for the interested reader to practice with, along with a reference list for additional reading, an R markdown file, and an open source interactive topic model tool (topicApp; see https://github.com/wesslen/topicApp, https://github.com/wesslen/text-analysis-org-science, https://dataverse.unc.edu/dataset.xhtml?persistentId=doi:10.15139/S3/R4W7ZS)."
9,"The purpose of this paper is to demonstrate that user-generated online contents can be used as an alternative data source for assessing airport service quality, which effectively complements and cross-validates the conventional service quality surveys. We apply sentiment analysis and topic modeling technique to 42,137 reviews collected from Google Maps. The results are compared to the well-publicized ASQ ratings conducted by Airport Council International. The sentiment scores computed from the textual Google reviews are very good predictors of the associated Google star ratings, with r",2018-08-01,2-s2.0-85048149191,Journal of Air Transport Management,Assessment of airport service quality: A complementary approach to measure perceived service quality based on Google reviews,"The purpose of this paper is to demonstrate that user-generated online contents can be used as an alternative data source for assessing airport service quality, which effectively complements and cross-validates the conventional service quality surveys. We apply sentiment analysis and topic modeling technique to 42,137 reviews collected from Google Maps. The results are compared to the well-publicized ASQ ratings conducted by Airport Council International. The sentiment scores computed from the textual Google reviews are very good predictors of the associated Google star ratings, with r"
