,articleCounts
"International Conference on Information and Knowledge Management, Proceedings",61
Knowledge-Based Systems,31
Information Processing and Management,13
Journal of the Association for Information Science and Technology,13
Journal of Information Science,13
Scientometrics,12
Technological Forecasting and Social Change,9
"52nd Annual Meeting of the Association for Computational Linguistics, ACL 2014 - Proceedings of the Conference",8
ACM Transactions on Information Systems,8
Journal of Informetrics,8
"30th International Conference on Machine Learning, ICML 2013",7
Sustainability (Switzerland),7
Digital Journalism,7
"Proceedings of the 10th International Conference on Language Resources and Evaluation, LREC 2016",7
Komp'juternaja Lingvistika i Intellektual'nye Tehnologii,7
Poetics,7
Decision Support Systems,6
International Journal of Information Management,6
"International Conference on Information Systems, ICIS 2012",6
International Journal on Digital Libraries,5
Social Science Computer Review,5
Transportation Research Part C: Emerging Technologies,5
"ACL 2013 - 51st Annual Meeting of the Association for Computational Linguistics, Proceedings of the Conference",4
"Proceedings of the 2016 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2016",4
Information Retrieval,4
"Proceedings - Frontiers in Education Conference, FIE",4
Information Communication and Society,4
"NAACL HLT 2012 - 2012 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Proceedings of the Conference",4
Proceedings of the ASIST Annual Meeting,4
Proceedings of the Association for Information Science and Technology,4
"54th Annual Meeting of the Association for Computational Linguistics, ACL 2016 - Short Papers",3
"ACL-IJCNLP 2015 - 53rd Annual Meeting of the Association for Computational Linguistics and the 7th International Joint Conference on Natural Language Processing of the Asian Federation of Natural Language Processing, Proceedings of the Conference",3
Electronic Commerce Research and Applications,3
"Computers, Environment and Urban Systems",3
"29th Pacific Asia Conference on Language, Information and Computation, PACLIC 2015",3
"13th Annual Conference of the International Speech Communication Association 2012, INTERSPEECH 2012",3
"ACL 2017 - 55th Annual Meeting of the Association for Computational Linguistics, Proceedings of the Conference (Long Papers)",3
"NAACL HLT 2013 - 2013 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Proceedings of the Main Conference",3
Lecture Notes in Geoinformation and Cartography,3
"NAACL HLT 2015 - 2015 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Proceedings of the Conference",3
"Proceedings of the 28th International Conference on Machine Learning, ICML 2011",3
"COLING 2014 - 25th International Conference on Computational Linguistics, Proceedings of COLING 2014: Technical Papers",3
Lecture Notes in Business Information Processing,3
"Proceedings - 11th IEEE International Conference on E-Business Engineering, ICEBE 2014 - Including 10th Workshop on Service-Oriented Applications, Integration and Collaboration, SOAIC 2014 and 1st Workshop on E-Commerce Engineering, ECE 2014",3
"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",3
Journal of Technology Transfer,3
Procesamiento de Lenguaje Natural,3
International Journal of Geographical Information Science,3
"54th Annual Meeting of the Association for Computational Linguistics, ACL 2016 - Student Research Workshop",3
"54th Annual Meeting of the Association for Computational Linguistics, ACL 2016 - Long Papers",3
Energy Research and Social Science,3
"PICMET 2017 - Portland International Conference on Management of Engineering and Technology: Technology Management for the Interconnected World, Proceedings",2
WIT Transactions on Information and Communication Technologies,2
"Proceedings - 14th IEEE International Conference on E-Business Engineering, ICEBE 2017 - Including 13th Workshop on Service-Oriented Applications, Integration and Collaboration, SOAIC 207",2
Information and Management,2
"2017 4th International Conference on eDemocracy and eGovernment, ICEDEG 2017",2
Journal of Educational Media and Library Sciences,2
Journal of Cleaner Production,2
New Media and Society,2
"Proceedings of the 10th INDIACom; 2016 3rd International Conference on Computing for Sustainable Global Development, INDIACom 2016",2
ISPRS International Journal of Geo-Information,2
L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,2
"IISA 2016 - 7th International Conference on Information, Intelligence, Systems and Applications",2
Profesional de la Informacion,2
"IISA 2015 - 6th International Conference on Information, Intelligence, Systems and Applications",2
D-Lib Magazine,2
International Journal of Communication,2
Social Network Analysis and Mining,2
"15th Conference of the European Chapter of the Association for Computational Linguistics, EACL 2017 - Proceedings of Conference",2
"2016 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, NAACL HLT 2016 - Proceedings of the Conference",2
"SLAM 2015 - Proceedings of the 2015 Workshop on Speech, Language and Audio in Multimedia, co-located with ACM MM 2015",2
"Proceedings - 16th IEEE/ACIS International Conference on Computer and Information Science, ICIS 2017",2
International Journal of Quality and Reliability Management,2
"2017 IEEE Technology and Engineering Management Society Conference, TEMSCON 2017",2
"Proceedings - 2017 IEEE 25th International Requirements Engineering Conference, RE 2017",2
Lecture Notes in Educational Technology,2
Cartography and Geographic Information Science,2
Sociological Methods and Research,2
"Proceedings - 2018 IEEE 19th International Conference on Information Reuse and Integration for Data Science, IRI 2018",2
"IEEE International Conference on Adaptive Science and Technology, ICAST",2
Political Behavior,2
"Coling 2010 - 23rd International Conference on Computational Linguistics, Proceedings of the Conference",2
"Proceedings - IEEE 4th International Conference on Big Data Computing Service and Applications, BigDataService 2018",2
IEEE Transactions on Computational Social Systems,2
"ICML 2010 - Proceedings, 27th International Conference on Machine Learning",2
IEEE Transactions on Engineering Management,2
Information Retrieval Journal,2
IEEE/ACM Transactions on Audio Speech and Language Processing,2
"Proceedings of 2018 5th International Conference on Business and Industrial Research: Smart Technology for Next Generation of Information, Engineering, Business and Social Science, ICBIR 2018",2
"Computer-Supported Collaborative Learning Conference, CSCL",2
"Discourse, Context and Media",2
Organizational Research Methods,2
Document Numerique,2
"Proceedings of the 29th International Conference on Machine Learning, ICML 2012",2
International Journal of Contemporary Hospitality Management,2
"Proceedings - 2012 11th International Conference on Machine Learning and Applications, ICMLA 2012",2
Journal of Public Policy,2
"2010 7th International Symposium on Chinese Spoken Language Processing, ISCSLP 2010 - Proceedings",2
Management Science,2
Journal of Politics,1
CSEDU 2011 - Proceedings of the 3rd International Conference on Computer Supported Education,1
"International Conference on Recent Trends in Information Technology, ICRTIT 2011",1
Journal of Information Science and Engineering,1
International Journal of Data Mining and Bioinformatics,1
"17th Americas Conference on Information Systems 2011, AMCIS 2011",1
Reading Modernism with Machines: Digital Humanities and Modernist Literature,1
"Proceedings of the 13th International Conference on Cognition and Exploratory Learning in the Digital Age, CELDA 2016",1
CSEDU 2016 - Proceedings of the 8th International Conference on Computer Supported Education,1
"Proceedings - 2016 3rd European Network Intelligence Conference, ENIC 2016",1
"Proceedings of the 8th International Conference on Language Resources and Evaluation, LREC 2012",1
"Proceedings - 12th IEEE International Conference on E-Business Engineering, ICEBE 2015",1
Digital Scholarship in the Humanities,1
ACL-HLT 2011 - Proceedings of the 49th Annual Meeting of the Association for Computational Linguistics: Human Language Technologies,1
Halduskultuur,1
"2011 3rd International Conference on Communication Systems and Networks, COMSNETS 2011",1
"2016 Joint Rail Conference, JRC 2016",1
"2009 International Conference on Asian Language Processing: Recent Advances in Asian Language Processing, IALP 2009",1
"ACL-IJCNLP 2009 - Joint Conf. of the 47th Annual Meeting of the Association for Computational Linguistics and 4th Int. Joint Conf. on Natural Language Processing of the AFNLP, Proceedings of the Conf.",1
Policy Studies Journal,1
"IEEE International Symposium on Broadband Multimedia Systems and Broadcasting, BMSB",1
Journal of Web Librarianship,1
Journal of Organizational and End User Computing,1
Discourse and Society,1
Proceedings of the ACM International Conference on Digital Libraries,1
Internet Research,1
Journal of Computer Information Systems,1
Mobilization,1
International Journal of Multimedia Information Retrieval,1
"Proceedings - 2015 International Conference on Science in Information Technology: Big Data Spectrum for Future Information Economy, ICSITech 2015",1
"Proceedings - 2010 International Conference on Asian Language Processing, IALP 2010",1
Text Mining and Visualization: Case Studies Using Open-Source Tools,1
Philippine Political Science Journal,1
Business Horizons,1
Journalism and Mass Communication Quarterly,1
"2015 15th International Conference on Innovations for Community Services, I4CS 2015",1
"Academy of Management 2012 Annual Meeting, AOM 2012",1
Natural Language Engineering,1
ICEIEC 2015 - Proceedings of 2015 IEEE 5th International Conference on Electronics Information and Emergency Communication,1
ICETECH 2015 - 2015 IEEE International Conference on Engineering and Technology,1
"2015 International Conference on Information Systems: Exploring the Information Frontier, ICIS 2015",1
Contemporary Engineering Sciences,1
Yale Law Journal,1
Bulletin of Geography,1
Journal of Information Technology and Politics,1
Journal of Information and Computational Science,1
"Proceedings - 2013 International Conference on Social Intelligence and Technology, SOCIETY 2013",1
Journal of American Folklore,1
"2014 International Conference on Information and Communications Technologies, ICT 2014",1
Jurnal Pendidikan IPA Indonesia,1
Proceedings of the Human Factors and Ergonomics Society,1
Journal of Engineering and Technology Management - JET-M,1
Social Media Mining and Social Network Analysis: Emerging Research,1
International Conference on Information Systems (ICIS 2013): Reshaping Society Through Information Systems Design,1
"2013 IEEE International Conference on Technologies for Homeland Security, HST 2013",1
Literary and Linguistic Computing,1
"International Conference on Logistics, Engineering, Management and Computer Science, LEMCS 2014",1
World Transactions on Engineering and Technology Education,1
"Proceedings of the 9th International Conference on Language Resources and Evaluation, LREC 2014",1
IEEE Transactions on Information Theory,1
Advances in Engineering Education,1
Policy and Internet,1
Proceedings of CUPUM 2013: 13th International Conference on Computers in Urban Planning and Urban Management - Planning Support Systems for Sustainable Urban Development,1
Nature Climate Change,1
Journal of Consumer Research,1
Portland International Conference on Management of Engineering and Technology,1
Emerging Methods in Predictive Analytics: Risk Management and Decision-Making,1
Social Media and Society,1
"2012 Proceedings of Portland International Center for Management of Engineering and Technology: Technology Management for Emerging Technologies, PICMET'12",1
IEEE Transactions on Human-Machine Systems,1
"2015 IEEE International Conference on Intelligence and Security Informatics: Securing the World through an Alignment of Technology, Intelligence, Humans and Organizations, ISI 2015",1
ICER 2015 - Proceedings of the 2015 ACM Conference on International Computing Education Research,1
Strategic Management Journal,1
24th International Conference on Computational Linguistics - Proceedings of COLING 2012: Technical Papers,1
"2015 Joint Rail Conference, JRC 2015",1
"2012 IEEE International Conference on Technologies for Homeland Security, HST 2012",1
Proceedings of the International Conference on Electronic Business (ICEB),1
Advances in Strategic Management,1
"Proceedings - 2015 IEEE International Conference on Smart City, SmartCity 2015, Held Jointly with 8th IEEE International Conference on Social Computing and Networking, SocialCom 2015, 5th IEEE International Conference on Sustainable Computing and Communications, SustainCom 2015, 2015 International Conference on Big Data Intelligence and Computing, DataCom 2015, 5th International Symposium on Cloud and Service Computing, SC2 2015",1
Multimedia Data Mining and Analytics: Disruptive Innovation,1
International Journal of Consumer Studies,1
"10th International Conference of the Learning Sciences: The Future of Learning, ICLS 2012 - Proceedings",1
"2012 8th International Symposium on Chinese Spoken Language Processing, ISCSLP 2012",1
"2012 IEEE Workshop on Spoken Language Technology, SLT 2012 - Proceedings",1
L@S 2015 - 2nd ACM Conference on Learning at Scale,1
Journal of Management Information Systems,1
Tourism Management,1
Government Information Quarterly,1
International Journal of Educational Management,1
Production and Operations Management,1
Geschichte und Gesellschaft,1
Administrative Science Quarterly,1
"Proceedings - 2017 International Conference on Sustainable Information Engineering and Technology, SIET 2017",1
Journal of Business Ethics,1
Journal of Service Research,1
Accounting History,1
