,articleCounts
"International Conference on Information and Knowledge Management, Proceedings",61
Knowledge-Based Systems,31
Technological Forecasting and Social Change,9
ACM Transactions on Information Systems,8
Decision Support Systems,6
Electronic Commerce Research and Applications,3
"Proceedings - 11th IEEE International Conference on E-Business Engineering, ICEBE 2014 - Including 10th Workshop on Service-Oriented Applications, Integration and Collaboration, SOAIC 2014 and 1st Workshop on E-Commerce Engineering, ECE 2014",3
Lecture Notes in Business Information Processing,3
Journal of Technology Transfer,3
Information and Management,2
"2017 IEEE Technology and Engineering Management Society Conference, TEMSCON 2017",2
International Journal of Quality and Reliability Management,2
International Journal of Contemporary Hospitality Management,2
Journal of Cleaner Production,2
"Proceedings - 2017 IEEE 25th International Requirements Engineering Conference, RE 2017",2
"Proceedings - 14th IEEE International Conference on E-Business Engineering, ICEBE 2017 - Including 13th Workshop on Service-Oriented Applications, Integration and Collaboration, SOAIC 207",2
Cartography and Geographic Information Science,2
WIT Transactions on Information and Communication Technologies,2
"PICMET 2017 - Portland International Conference on Management of Engineering and Technology: Technology Management for the Interconnected World, Proceedings",2
Management Science,2
"Proceedings of 2018 5th International Conference on Business and Industrial Research: Smart Technology for Next Generation of Information, Engineering, Business and Social Science, ICBIR 2018",2
Organizational Research Methods,2
IEEE Transactions on Engineering Management,2
"Proceedings - 16th IEEE/ACIS International Conference on Computer and Information Science, ICIS 2017",2
"Proceedings - 12th IEEE International Conference on E-Business Engineering, ICEBE 2015",1
Journal of Organizational and End User Computing,1
Journal of Management Information Systems,1
Text Mining and Visualization: Case Studies Using Open-Source Tools,1
Business Horizons,1
Journal of Product Innovation Management,1
"Proceedings of the 11th European Conference on Information Systems Management, ECISM 2017",1
International Journal of Applied Business and Economic Research,1
Tourism Management,1
Strategic Management Journal,1
"2015 15th International Conference on Innovations for Community Services, I4CS 2015",1
International Journal of Consumer Studies,1
"International Conference on Recent Trends in Information Technology, ICRTIT 2011",1
"Academy of Management 2012 Annual Meeting, AOM 2012",1
"2012 Proceedings of Portland International Center for Management of Engineering and Technology: Technology Management for Emerging Technologies, PICMET'12",1
"Proceedings - 2013 International Conference on Social Intelligence and Technology, SOCIETY 2013",1
"International Conference on Logistics, Engineering, Management and Computer Science, LEMCS 2014",1
Journal of Engineering and Technology Management - JET-M,1
Multimedia Data Mining and Analytics: Disruptive Innovation,1
ICETECH 2015 - 2015 IEEE International Conference on Engineering and Technology,1
Journal of Consumer Research,1
Advances in Strategic Management,1
Proceedings of the International Conference on Electronic Business (ICEB),1
Business Process Management Journal,1
Emerging Methods in Predictive Analytics: Risk Management and Decision-Making,1
Portland International Conference on Management of Engineering and Technology,1
Research in the Sociology of Organizations,1
Journal of Hospitality Marketing and Management,1
"2017 Annual Meeting of the Academy of Management, AOM 2017",1
Cities,1
Total Quality Management and Business Excellence,1
Public Relations Review,1
Journal of Business and Psychology,1
Journal of Air Transport Management,1
Service Oriented Computing and Applications,1
Journal of Retailing and Consumer Services,1
Production and Operations Management,1
Journal of Business Ethics,1
Accounting History,1
Journal of Service Research,1
"Proceedings of the 21st International Symposium on Advancement of Construction Management and Real Estate, 2016",1
Foresight and STI Governance,1
Journal of Business Research,1
Journal of Hospitality and Tourism Technology,1
Decision Sciences,1
Journal of Business Economics,1
European Research on Management and Business Economics,1
International Journal of Educational Management,1
Industrial Management and Data Systems,1
Journal of Interactive Marketing,1
Journal of Management in Engineering,1
Journal of Political Marketing,1
"14th International Conference on Services Systems and Services Management, ICSSSM 2017 - Proceedings",1
Journal of Marketing,1
International Journal of Business Data Communications and Networking,1
"PICMET: Portland International Center for Management of Engineering and Technology, Proceedings",1
